Date       China Italy   Spain  Canada US-ALL   US-NY   US-CA   US-WA  US-MA  US-TX  US-IL
2020-01-22 571    0       0     0       0       0       0       0      0      0      0    
2020-01-23 830    0       0     0       0       0       0       0      0      0      0  
2020-01-24 1287   0       0     0       0       0       0       0      0      0      0  
2020-01-25 1975   0       0     0       0       0       0       0      0      0      0  
2020-01-26 2744   0       0     0       0       0       0       0      0      0      0  
2020-01-27 4515   0       0     0       0       0       0       0      0      0      0  
2020-01-28 5974   0       0     0       0       0       0       0      0      0      0  
2020-01-29 7711   0       0     0       0       0       0       0      0      0      0  
2020-01-30 9692   0       0     0       0       0       0       0      0      0      0  
2020-01-31 11791  0       0     0       0       0       0       0      0      0      0  
2020-02-01 14380  0       0     0       0       0       0       0      0      0      0  
2020-02-02 17205  0       0     0       0       0       0       0      0      0      0  
2020-02-03 20440  0       0     0       0       0       0       0      0      0      0  
2020-02-04 24324  0       0     0       0       0       0       0      0      0      0  
2020-02-05 28018  0       0     0       0       0       0       0      0      0      0  
2020-02-06 31161  0       0     0       0       0       0       0      0      0      0  
2020-02-07 34546  0       0     0       0       0       0       0      0      0      0  
2020-02-08 37198  0       0     0       0       0       0       0      0      0      0  
2020-02-09 40171  0       0     0       0       0       0       0      0      0      0  
2020-02-10 42638  0       0     0       0       0       0       0      0      0      0 
2020-02-11 44653  0       0     0       0       0       0       0      0      0      0
2020-02-12 58761  0       0     0       0       0       0       0      0      0      0
2020-02-13 63851  0       0     0       0       0       0       0      0      0      0
2020-02-14 66492  0       0     0       0       0       0       0      0      0      0
2020-02-15 68500  3       0     0       15      0       0       0      0      0      0
2020-02-16 70548  3       0     0       15      0       0       0      0      0     0
2020-02-17 72436  3       0     0       15      0       0       0      0      0     0
2020-02-18 74185  3       0     0       15      0       0       0      0      0     0
2020-02-19 74576  3       0     0       15      0       0       0      0      0     0
2020-02-20 75465  4       0     0       15      0       0       0      0      0     0
2020-02-21 76288  21      0     0       35      0       0       0      0      0     0
2020-02-22 76936  79      0     0       35      0       0       0      0      0     0
2020-02-23 77150  157     0     0       35      0       0       0      0      0     0
2020-02-24 77658  229     2     11      53      0       8       1      1      0     2
2020-02-25 78064  323     3     11      57      0       8       1      1      0     2
2020-02-26 78479  467     9     12      60      0       8       1      1      0     2
2020-02-27 78824  655     13    14      60      0       9       1      1      0     2
2020-02-28 79251  889     25    16      63      0       10      3      1      0     2
2020-02-29 79824  1128    33    20      68      0       11      6      1      0     3
2020-03-01 80026  1701    58    24      75      3       16      13     1      0     3
2020-03-02 80151  2036    84    27      100     3       23      18     2      0     4
2020-03-03 80270  2502    120   33      124     4       31      26     2      0     4
2020-03-04 80409  3089    165   34      158     13      39      38     2      1     4
2020-03-05 80552  3858    282   48      221     24      53      68     4      5     5
2020-03-06 80651  4636    401   54      319     46      70      78     8      9     6
2020-03-07 80695  5883    525   60      435     91      87      102    13     9     6
2020-03-08 80735  7375    674   67      541     110     102     123    32     12    7
2020-03-09 80754  9172    1231  80      704     144     138     169    41     13    11
2020-03-10 80778  10149   1695  98      994     178     155     273    92     21    19
2020-03-11 80793  12462   2277  119     1301    218     178     334    95     23    25
2020-03-12 80813  15113   3146  159     1630    324     240     411    108    32    32
2020-03-13 80824  17660   5232  202     2183    423     301     509    123    51    46
2020-03-14 80844  21157   6391  257     2770    617     379     604    138    64    65
2020-03-15 80860  24747   7988  343     3613    748     466     667    162    77    91
2020-03-16 80881  27980   9942  442     4596    971     568     840    191    96    105
2020-03-17 80894  31506   11826 600     6344    1409    715     950    218    134   160
2020-03-18 80928  35713   14769 729     9197    2556    866     1036   256    228   272
2020-03-19 80967  41035   18077 875     13779   5669    1047    1246   328    321   418
2020-03-20 81008  47021   21571 1091    19567   8530    1260    1397   407    438   584
2020-03-21 81054  53578   25496 1333    24192   12323   1519    1647   523    565   752
2020-03-22 81093  59138   28768 1474    33592   16893   1817    1883   646    677   1050
2020-03-23 81171  63927   35136 2059    43781   21727   2243    2154   777    812   1286
2020-03-24 81218  69176   42058 2822    54856   26389   2631    2469   1159   1034  1539
2020-03-25 81285  74386   49515 3412    68211   33083   3172    2559   1838   1363  1868
2020-03-26 81340  80589   57786 4045    85435   39141   4045    3162   2417   1664  2543
2020-03-27 81394  86498   65719 4759    100393  46124   4888    3726   3240   2033  3031
2020-03-28 81394  92472   73235 5654    123578	53510   5565    4277   4257   2523  3486
2020-03-29 81439  97689   80110 6316    143491  59648   6353    4896   4955   2851  4589
2020-03-30 81518  101739  87956 7448    163844  67384   7391    5187   5752   3346  5057
2020-03-31 81518  105792  95923 8591    188530  75983   8504    5482   6620   3666  5995
2020-04-01 81554  110574  104118 9731   215003  83901   9807    5844   7738   4068  6980
2020-04-02
2020-04-03
2020-04-04
2020-04-05
2020-04-06
2020-04-07
2020-04-08
2020-04-09
2020-04-10
2020-04-11
2020-04-12
2020-04-13
2020-04-14
2020-04-15
2020-04-16
2020-04-17
2020-04-18
2020-04-19
2020-04-20
2020-04-21
2020-04-22
2020-04-23
2020-04-24
2020-04-25
2020-04-26
2020-04-27
2020-04-28
2020-04-29
2020-04-30
